id,x1,x2,x3,x4,cat1,cat2,cat3,cat4,bin1,bin2,bin3,bin4,bin5,cls1,cls2,cls3,cls4
0,0.28,0.8,0.4,0.63,medium,medium,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
1,0.2,0.77,0.53,0.4,high,high,high,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1
2,0.31,0.9,0.71,0.41,medium,high,medium,high,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,0,1
3,0.25,0.67,0.5,0.63,medium,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1
4,0.63,0.6,0.59,0.27,low,low,low,low,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,1,1
5,0.29,0.76,0.44,0.56,low,low,low,low,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
6,0.75,0.55,0.27,0.7,low,high,low,low,TRUE,TRUE,TRUE,TRUE,FALSE,0,1,1,0
7,0.15,0.49,0.53,0.46,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,1,0
8,0.27,0.64,0.36,0.7,high,medium,high,high,TRUE,FALSE,FALSE,TRUE,FALSE,2,1,0,1
9,0.32,0.82,0.7,0.34,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,1,1
10,0.33,0.39,0.53,0.92,medium,low,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1
11,0.26,0.51,0.15,0.7,low,medium,low,medium,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,1
12,0.65,0.76,0.59,0.49,low,low,low,low,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,1
13,0.71,0.69,0.73,0.35,high,high,high,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0
14,0.37,0.67,0.38,0.61,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
15,0.25,0.86,0.65,0.48,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,1,0
16,0.3,0.91,0.49,0.56,high,low,high,medium,TRUE,FALSE,TRUE,TRUE,TRUE,2,0,0,0
17,0.58,0.71,0.67,0.56,high,high,medium,high,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0
18,0.56,0.84,0.52,0.3,low,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1
19,0.22,0.73,0.35,0.85,low,low,low,low,TRUE,TRUE,FALSE,TRUE,TRUE,2,1,1,0
20,0.31,0.76,0.36,0.82,low,medium,medium,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
21,0.41,0.68,0.71,0.52,low,low,low,low,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,1,1
22,0.27,0.72,0.56,0.41,high,medium,medium,high,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,0,0
23,0.29,0.73,0.46,0.75,high,high,high,high,TRUE,FALSE,FALSE,TRUE,TRUE,2,1,0,0
24,0.25,0.38,0.46,0.73,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
25,0.48,0.59,0.49,0.68,high,high,low,low,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0,1
26,0.24,0.84,0.6,0.56,high,high,high,medium,TRUE,TRUE,FALSE,TRUE,TRUE,2,0,0,0
27,0.6,0.75,0.55,0.75,low,low,low,medium,TRUE,TRUE,TRUE,FALSE,TRUE,0,1,1,0
28,0.58,0.63,0.81,0.43,high,high,medium,high,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0
29,0.27,0.79,0.54,0.74,high,high,high,medium,TRUE,TRUE,FALSE,TRUE,TRUE,2,1,0,0
30,0.27,0.7,0.44,0.71,low,low,low,low,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
31,0.21,0.77,0.45,0.65,medium,low,high,medium,TRUE,FALSE,TRUE,TRUE,TRUE,2,1,0,0
32,0.33,0.69,0.44,0.75,high,medium,high,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
33,0.2,0.52,0.37,0.67,high,medium,high,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
34,0.22,0.82,0.35,0.82,high,high,medium,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,0,0
35,0.22,0.5,0.58,0.11,high,high,medium,medium,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1
36,0.24,0.62,0.44,0.84,low,medium,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
37,0.27,0.28,0.54,0.43,low,medium,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,1,0
38,0.83,0.67,0.28,0.79,medium,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
39,0.3,0.4,0.4,0.48,low,low,low,low,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,1,1
40,0.21,0.82,0.27,0.83,medium,high,high,high,FALSE,TRUE,FALSE,FALSE,FALSE,2,1,0,1
41,0.62,0.64,0.59,0.45,low,low,high,low,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,1,1
42,0.28,0.52,0.7,0.5,high,low,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
43,0.38,0.75,0.26,0.64,medium,low,medium,medium,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,1,1
44,0.23,0.74,0.44,0.76,high,low,low,low,FALSE,TRUE,FALSE,FALSE,FALSE,2,1,1,1
45,0.16,0.54,0.51,0.4,medium,high,medium,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
46,0.32,0.69,0.55,0.4,high,high,medium,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
47,0.71,0.68,0.61,0.27,medium,high,high,high,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0,0
48,0.22,0.71,0.32,0.83,medium,high,high,medium,FALSE,FALSE,TRUE,FALSE,TRUE,2,1,0,1
49,0.27,0.61,0.56,0.41,high,low,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
50,0.24,0.76,0.36,0.84,low,high,medium,high,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,1
51,0.59,0.72,0.46,0.56,high,high,medium,medium,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
52,0.35,0.76,0.24,0.58,low,low,low,low,TRUE,TRUE,FALSE,TRUE,TRUE,2,1,1,0
53,0.3,0.34,0.81,0.37,high,high,high,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
54,0.72,0.53,0.37,0.65,high,medium,high,medium,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0,1
55,0.27,0.36,0.55,0.47,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,1
56,0.27,0.86,0.82,0.54,low,low,medium,medium,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,1,1
57,0.25,0.59,0.64,0.43,low,low,low,low,FALSE,TRUE,TRUE,TRUE,TRUE,1,0,1,0
58,0.32,0.82,0.71,0.45,medium,medium,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,0,0
59,0.79,0.61,0.42,0.55,high,high,medium,high,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
60,0.22,0.68,0.61,0.37,low,low,low,low,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,1,1
61,0.51,0.64,0.69,0.38,low,low,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1
62,0.27,0.57,0.55,0.48,low,low,low,medium,TRUE,TRUE,TRUE,FALSE,TRUE,1,0,1,0
63,0.28,0.7,0.64,0.71,high,high,high,medium,FALSE,TRUE,TRUE,TRUE,FALSE,2,0,0,0
64,0.27,0.74,0.43,0.69,high,medium,medium,high,TRUE,FALSE,TRUE,TRUE,TRUE,2,1,0,0
65,0.33,0.39,0.61,0.3,low,medium,high,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
66,0.53,0.63,0.81,0.5,high,high,medium,high,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,1
67,0.39,0.61,0.66,0.3,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,1,0
68,0.28,0.26,0.25,0.68,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
69,0.22,0.58,0.46,0.77,low,medium,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1
70,0.3,0.77,0.58,0.42,low,high,low,high,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,0,1
71,0.31,0.71,0.35,0.69,high,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,1
72,0.57,0.79,0.48,0.68,high,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
73,0.13,0.55,0.67,0.29,high,high,high,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
74,0.59,0.69,0.77,0.43,low,low,low,low,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,1
75,0.25,0.49,0.34,0.84,high,high,high,high,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,0,1
76,0.19,0.69,0.57,0.81,high,high,medium,high,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,0,0
77,0.28,0.61,0.29,0.74,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
78,0.28,0.19,0.48,0.6,high,high,high,medium,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,0,1
79,0.42,0.76,0.41,0.75,low,medium,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
80,0.33,0.79,0.6,0.52,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,1,0
81,0.17,0.83,0.44,0.65,medium,low,low,low,FALSE,TRUE,TRUE,TRUE,FALSE,2,1,1,0
82,0.24,0.71,0.45,0.82,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
83,0.8,0.57,0.44,0.44,low,low,low,high,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,1
84,0.19,0.79,0.42,0.66,low,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,0,0
85,0.26,0.6,0.3,0.76,high,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
86,0.69,0.78,0.66,0.45,low,low,low,medium,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0
87,0.65,0.67,0.38,0.69,high,high,high,medium,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
88,0.26,0.52,0.44,0.62,high,high,high,high,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,0,1
89,0.68,0.7,0.67,0.43,high,high,high,low,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,0,0
90,0.31,0.81,0.27,0.73,low,high,low,low,TRUE,TRUE,FALSE,TRUE,TRUE,2,1,1,0
91,0.31,0.72,0.27,0.56,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,1,0
92,0.2,0.74,0.34,0.76,medium,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
93,0.6,0.72,0.76,0.45,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1
94,0.26,0.84,0.87,0.38,low,low,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,1,1
95,0.71,0.64,0.41,0.6,low,medium,low,low,FALSE,TRUE,TRUE,TRUE,TRUE,0,1,1,0
96,0.3,0.82,0.48,0.74,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,1,0
97,0.33,0.71,0.44,0.61,low,low,low,medium,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
98,0.29,0.53,0.61,0.19,low,low,low,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,1,0
99,0.2,0.35,0.79,0.29,low,low,low,low,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,1
100,0.61,0.71,0.44,0.77,medium,low,high,low,TRUE,TRUE,FALSE,TRUE,TRUE,0,1,1,0
101,0.22,0.49,0.65,0.24,high,high,medium,high,FALSE,FALSE,FALSE,TRUE,TRUE,1,0,0,1
102,0.29,0.72,0.7,0.44,medium,high,medium,high,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,0,1
103,0.75,0.59,0.53,0.73,medium,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,1,0
104,0.22,0.43,0.53,0.46,low,low,low,low,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,1
105,0.28,0.73,0.27,0.58,low,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,0,0
106,0.33,0.37,0.77,0.47,high,low,high,high,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,1
107,0.16,0.56,0.47,0.78,high,medium,low,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
108,0.45,0.79,0.78,0.17,low,high,low,low,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,1,0
109,0.64,0.68,0.21,0.71,high,medium,medium,high,TRUE,TRUE,FALSE,TRUE,TRUE,0,1,0,0
110,0.68,0.66,0.24,0.79,low,low,low,low,TRUE,TRUE,TRUE,TRUE,FALSE,0,1,1,0
111,0.27,0.9,0.32,0.55,high,medium,medium,high,TRUE,FALSE,TRUE,TRUE,TRUE,2,1,0,0
112,0.74,0.57,0.76,0.27,low,medium,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1
113,0.81,0.63,0.67,0.42,low,medium,low,low,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,1,1
114,0.2,0.31,0.76,0.45,medium,low,low,low,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,1,1
115,0.22,0.65,0.36,0.73,low,low,low,medium,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1
116,0.61,0.75,0.55,0.52,low,high,high,low,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,1
117,0.31,0.42,0.43,0.7,high,high,medium,medium,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1
118,0.31,0.7,0.38,0.71,high,high,medium,high,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,1
119,0.71,0.62,0.6,0.38,low,medium,high,high,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,1
120,0.33,0.44,0.47,0.7,high,medium,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1
121,0.31,0.7,0.25,0.7,high,high,low,medium,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,1
122,0.27,0.57,0.39,0.89,medium,low,medium,high,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,0,0
123,0.21,0.27,0.68,0.35,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,1
124,0.65,0.74,0.44,0.68,high,high,low,high,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,0,0
125,0.25,0.73,0.75,0.39,medium,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1
126,0.26,0.7,0.68,0.32,high,low,medium,high,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,1
127,0.27,0.59,0.63,0.34,high,high,high,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
128,0.52,0.65,0.68,0.36,high,high,high,high,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0
129,0.35,0.52,0.19,0.55,medium,high,high,low,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
130,0.52,0.79,0.35,0.68,high,high,medium,high,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
131,0.71,0.65,0.36,0.7,low,medium,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,1,0
132,0.55,0.76,0.43,0.58,medium,medium,medium,high,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
133,0.23,0.78,0.52,0.55,low,medium,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
134,0.27,0.82,0.44,0.48,high,high,medium,high,TRUE,TRUE,TRUE,FALSE,TRUE,2,1,0,0
135,0.33,0.64,0.72,0.36,medium,medium,high,high,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0,0
136,0.21,0.59,0.43,0.71,low,low,low,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
137,0.28,0.93,0.69,0.57,high,high,high,high,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,1
138,0.21,0.27,0.37,0.62,low,low,low,medium,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1
139,0.32,0.77,0.78,0.43,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,1,1
140,0.25,0.75,0.62,0.31,low,low,low,low,FALSE,FALSE,FALSE,TRUE,TRUE,2,0,1,1
141,0.49,0.83,0.37,0.55,low,low,low,low,TRUE,TRUE,FALSE,TRUE,TRUE,0,1,1,0
142,0.31,0.46,0.53,0.67,low,low,low,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
143,0.29,0.57,0.76,0.34,medium,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
144,0.15,0.71,0.41,0.72,low,low,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
145,0.24,0.62,0.33,0.91,medium,low,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1
146,0.58,0.8,0.66,0.43,low,low,low,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1
147,0.18,0.81,0.31,0.71,high,medium,high,medium,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,1
148,0.23,0.69,0.74,0.49,low,high,low,low,TRUE,FALSE,FALSE,FALSE,FALSE,2,0,1,1
149,0.66,0.92,0.69,0.46,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0
