id,x1,x2,x3,x4,cat1,cat2,cat3,cat4,bin1,bin2,bin3,bin4,bin5,cls1,cls2,cls3,cls4
150,0.33,0.34,0.64,0.2,high,medium,high,high,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,1
151,0.39,0.88,0.32,0.57,high,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,1,0
152,0.37,0.81,0.39,0.74,low,low,low,low,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,1,1
153,0.59,0.81,0.32,0.71,low,low,medium,medium,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,1,0
154,0.26,0.46,0.59,0.5,high,high,high,medium,FALSE,FALSE,TRUE,FALSE,TRUE,1,0,0,1
155,0.24,0.59,0.48,0.58,medium,low,low,low,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,1,1
156,0.31,0.73,0.41,0.25,low,low,medium,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,1,0
157,0.52,0.71,0.62,0.37,high,medium,medium,high,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,1
158,0.28,0.71,0.68,0.49,high,high,medium,high,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,1
159,0.26,0.46,0.37,0.88,low,low,medium,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
160,0.27,0.75,0.7,0.37,high,high,medium,medium,TRUE,TRUE,TRUE,FALSE,TRUE,2,0,0,0
161,0.49,0.57,0.42,0.74,high,high,high,medium,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
162,0.18,0.8,0.63,0.27,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,1,0
163,0.58,0.63,0.29,0.7,medium,low,medium,medium,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
164,0.29,0.63,0.26,0.56,low,low,low,high,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,1,1
165,0.22,0.4,0.34,0.67,medium,medium,high,medium,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1
166,0.17,0.8,0.47,0.75,high,high,low,high,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,0,1
167,0.75,0.76,0.49,0.52,low,low,low,medium,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
168,0.49,0.73,0.37,0.68,medium,low,low,medium,TRUE,TRUE,TRUE,TRUE,FALSE,0,1,1,0
169,0.36,0.37,0.67,0.48,low,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
170,0.66,0.57,0.47,0.7,high,low,medium,high,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,0,1
171,0.57,0.7,0.33,0.73,high,medium,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,1
172,0.15,0.55,0.6,0.41,low,low,low,medium,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,1
173,0.26,0.83,0.73,0.37,high,medium,medium,medium,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1
174,0.21,0.82,0.6,0.48,low,low,low,low,TRUE,FALSE,TRUE,FALSE,FALSE,2,0,1,1
175,0.21,0.56,0.61,0.39,medium,low,low,low,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,1,1
176,0.29,0.63,0.43,0.68,high,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1
177,0.36,0.56,0.53,0.61,high,low,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1
178,0.18,0.69,0.39,0.77,low,high,low,low,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,1,1
179,0.2,0.78,0.45,0.26,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,1,1
180,0.36,0.46,0.54,0.33,high,high,high,high,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,1
181,0.56,0.62,0.69,0.47,low,low,low,low,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,1,0
182,0.53,0.68,0.45,0.63,high,low,medium,medium,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
183,0.66,0.72,0.59,0.47,medium,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0
184,0.27,0.73,0.54,0.62,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
185,0.24,0.77,0.63,0.59,medium,medium,medium,high,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,0,0
186,0.22,0.4,0.37,0.62,high,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
187,0.27,0.76,0.75,0.38,low,low,low,low,FALSE,FALSE,FALSE,TRUE,TRUE,2,0,1,1
188,0.17,0.54,0.68,0.43,high,high,medium,high,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,0,1
189,0.39,0.77,0.71,0.37,low,low,low,high,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,1,1
190,0.52,0.7,0.53,0.49,low,low,low,low,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,1
191,0.29,0.54,0.32,0.55,high,high,medium,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
192,0.56,0.61,0.28,0.67,high,high,medium,high,TRUE,TRUE,FALSE,FALSE,TRUE,0,1,0,0
193,0.33,0.78,0.7,0.61,low,high,medium,high,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,0,1
194,0.78,0.6,0.43,0.86,medium,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
195,0.51,0.72,0.56,0.32,high,high,low,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1
196,0.38,0.73,0.62,0.54,medium,high,high,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,0,0
197,0.63,0.72,0.7,0.37,medium,low,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1
198,0.68,0.68,0.3,0.67,high,high,low,high,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,0,0
199,0.63,0.75,0.42,0.45,high,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0
200,0.16,0.44,0.2,0.59,low,high,high,high,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,1
201,0.71,0.7,0.74,0.34,high,high,medium,high,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0
202,0.7,0.66,0.43,0.66,low,low,low,medium,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,1,0
203,0.73,0.58,0.42,0.8,low,low,high,low,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,1,0
204,0.37,0.48,0.23,0.83,medium,low,medium,low,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,1,0
205,0.74,0.71,0.28,0.8,high,low,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,1
206,0.3,0.68,0.43,0.43,low,low,medium,medium,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,1,1
207,0.6,0.74,0.38,0.68,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
208,0.59,0.68,0.62,0.48,medium,high,low,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1
209,0.24,0.51,0.5,0.83,high,high,low,medium,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,0,1
210,0.28,0.43,0.61,0.44,high,low,high,high,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,1
211,0.25,0.52,0.23,0.67,medium,low,high,high,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,0,0
212,0.29,0.84,0.72,0.34,high,medium,medium,high,TRUE,FALSE,TRUE,TRUE,TRUE,2,0,0,0
213,0.24,0.54,0.29,0.62,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
214,0.82,0.78,0.66,0.49,low,low,low,medium,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,1,1
215,0.25,0.81,0.46,0.69,low,low,low,medium,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1
216,0.48,0.83,0.71,0.4,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0
217,0.27,0.52,0.39,0.69,medium,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
218,0.32,0.82,0.51,0.41,high,high,high,medium,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1
219,0.22,0.77,0.49,0.32,low,low,low,low,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,1,1
220,0.52,0.7,0.5,0.37,low,high,medium,high,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1
221,0.49,0.71,0.64,0.63,high,high,high,high,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,0,0
222,0.62,0.87,0.66,0.43,high,medium,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1
223,0.25,0.43,0.59,0.54,medium,low,low,low,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,1,1
224,0.2,0.8,0.68,0.44,high,high,medium,high,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1
225,0.32,0.42,0.71,0.2,high,medium,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0
226,0.24,0.71,0.28,0.65,low,low,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
227,0.3,0.63,0.36,0.79,high,high,high,high,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,1
228,0.24,0.7,0.71,0.48,low,low,medium,low,TRUE,FALSE,FALSE,FALSE,FALSE,2,0,1,1
229,0.32,0.88,0.32,0.65,low,medium,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,1,0
230,0.33,0.73,0.46,0.53,medium,high,low,high,TRUE,FALSE,FALSE,FALSE,FALSE,2,0,0,1
231,0.31,0.6,0.41,0.68,medium,high,high,high,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,0,0
232,0.33,0.46,0.36,0.86,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
233,0.25,0.5,0.43,0.6,high,high,low,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
234,0.61,0.79,0.79,0.44,high,high,high,high,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,1
235,0.27,0.77,0.46,0.63,low,low,low,low,TRUE,FALSE,TRUE,TRUE,TRUE,2,1,1,0
236,0.3,0.71,0.72,0.46,high,medium,high,high,FALSE,FALSE,TRUE,FALSE,TRUE,2,0,0,1
237,0.18,0.33,0.83,0.27,medium,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1
238,0.29,0.82,0.34,0.84,low,low,low,low,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
239,0.27,0.81,0.45,0.45,high,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1
240,0.25,0.91,0.54,0.53,high,low,high,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1
241,0.69,0.76,0.35,0.77,low,low,low,medium,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
242,0.85,0.71,0.38,0.72,medium,medium,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,1,0
243,0.24,0.84,0.86,0.4,medium,low,high,low,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,1,1
244,0.52,0.58,0.81,0.45,medium,medium,medium,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0
245,0.27,0.87,0.36,0.68,high,medium,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,0,0
246,0.28,0.76,0.72,0.41,low,low,medium,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,1,0
247,0.27,0.72,0.44,0.42,low,low,low,medium,TRUE,TRUE,FALSE,TRUE,TRUE,2,0,1,0
248,0.21,0.43,0.63,0.28,high,high,high,high,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,0,0
249,0.55,0.75,0.8,0.28,high,medium,medium,high,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0
250,0.34,0.75,0.65,0.39,medium,high,high,medium,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,1
251,0.35,0.77,0.33,0.69,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,1,0
252,0.71,0.6,0.78,0.49,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0
253,0.78,0.81,0.59,0.39,medium,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1
254,0.7,0.58,0.41,0.61,medium,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
255,0.25,0.77,0.47,0.27,medium,high,medium,high,TRUE,FALSE,FALSE,FALSE,FALSE,2,0,0,1
256,0.43,0.5,0.33,0.54,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
257,0.2,0.8,0.63,0.55,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,1,1
258,0.31,0.83,0.72,0.19,high,low,low,low,TRUE,TRUE,TRUE,FALSE,FALSE,2,0,1,0
259,0.27,0.81,0.35,0.74,high,high,low,medium,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,0,0
260,0.23,0.59,0.66,0.3,high,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1
261,0.31,0.43,0.34,0.69,high,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
262,0.24,0.47,0.32,0.81,low,low,low,low,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
263,0.34,0.78,0.44,0.7,medium,high,low,low,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,1,1
264,0.6,0.78,0.63,0.47,high,high,high,medium,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0
265,0.33,0.77,0.58,0.42,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,1,0
266,0.56,0.75,0.48,0.81,low,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,1
267,0.52,0.59,0.41,0.65,medium,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
268,0.62,0.79,0.29,0.66,low,medium,medium,high,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,1,1
269,0.69,0.8,0.44,0.74,medium,low,low,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
270,0.83,0.71,0.4,0.59,high,medium,low,medium,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,0,1
271,0.62,0.79,0.7,0.63,low,low,low,low,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,1,0
272,0.49,0.76,0.32,0.86,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,1,0
273,0.55,0.54,0.26,0.76,low,low,medium,high,FALSE,TRUE,TRUE,TRUE,TRUE,0,1,0,0
274,0.16,0.71,0.28,0.65,medium,high,medium,high,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,0,0
275,0.24,0.73,0.44,0.64,low,high,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,1
276,0.34,0.47,0.41,0.66,low,high,high,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
277,0.75,0.67,0.56,0.49,low,low,low,low,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,1
278,0.22,0.78,0.48,0.79,medium,medium,low,high,FALSE,TRUE,FALSE,FALSE,FALSE,2,1,1,1
279,0.24,0.55,0.44,0.71,high,high,high,medium,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
280,0.31,0.69,0.34,0.71,high,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,1
281,0.23,0.37,0.22,0.68,medium,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
282,0.39,0.67,0.56,0.75,high,high,high,high,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,1
283,0.13,0.36,0.47,0.43,low,low,low,low,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,1,1
284,0.25,0.65,0.45,0.67,high,low,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1
285,0.18,0.24,0.27,0.67,low,low,medium,low,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,1
286,0.2,0.4,0.75,0.47,medium,low,low,medium,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,1,1
287,0.35,0.49,0.23,0.79,low,low,low,low,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,0
288,0.31,0.6,0.63,0.41,medium,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,1,0
289,0.26,0.5,0.56,0.63,low,low,low,low,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,1
290,0.23,0.41,0.45,0.62,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,0
291,0.29,0.52,0.35,0.58,high,high,medium,high,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0
292,0.45,0.64,0.42,0.63,low,medium,low,low,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,1,1
293,0.62,0.85,0.43,0.76,medium,high,high,low,TRUE,TRUE,TRUE,TRUE,FALSE,0,1,0,0
294,0.37,0.51,0.52,0.43,high,medium,high,high,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,1
295,0.68,0.69,0.27,0.72,low,low,low,medium,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,1,1
296,0.74,0.65,0.69,0.42,high,high,medium,high,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,1
297,0.27,0.72,0.74,0.3,medium,medium,low,high,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,0,0
298,0.22,0.73,0.51,0.58,low,low,low,low,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,1,0
299,0.29,0.73,0.52,0.48,high,high,medium,high,TRUE,TRUE,FALSE,TRUE,TRUE,2,0,0,0
